Dataset,IR,Method,cost_r1,cost_r2,cost_r5,cost_r10,cost_r20,cost_r50,fit_seconds
ionosphere,1.7857142857142858,Pool-uniform+t05,0.06559356136820925,0.11122736418511066,0.24812877263581487,0.47629778672032186,0.9326358148893361,2.301649899396378,13.209823036193848
ionosphere,1.7857142857142858,RandomBalance+Elkan,0.06845070422535211,0.12841046277665996,0.28780684104627763,0.4298591549295775,0.49818913480885313,0.641046277665996,32.507653856277464
ionosphere,1.7857142857142858,RandomBalance+t05,0.06845070422535211,0.10837022132796781,0.22812877263581485,0.4277263581488933,0.8269215291750502,2.0245070422535214,32.507653856277464
ionosphere,1.7857142857142858,RandomForest+Elkan,0.0655533199195171,0.10269617706237426,0.18832997987927563,0.2422937625754527,0.34474849094567406,0.5645070422535211,3.1750729084014893
ionosphere,1.7857142857142858,RandomForest+t05,0.0655533199195171,0.11400402414486921,0.2593561368209255,0.5016096579476861,0.9861167002012072,2.4396378269617705,3.1750729084014893
ionosphere,1.7857142857142858,SPE+Elkan,0.0655533199195171,0.11412474849094567,0.2395171026156942,0.37380281690140843,0.5474044265593562,0.6153319919517103,17.39128794670105
ionosphere,1.7857142857142858,SPE+t05,0.0655533199195171,0.11400402414486921,0.2593561368209255,0.5016096579476861,0.9861167002012072,2.4396378269617705,17.39128794670105
iris_setosa,2.0,GradientBoost+Elkan,0.0,0.0,0.0,0.0,0.0,0.0,0.21876401901245118
iris_setosa,2.0,GradientBoost+t05,0.0,0.0,0.0,0.0,0.0,0.0,0.21876401901245118
iris_setosa,2.0,Pool-uniform+Elkan,0.0,0.0,0.0,0.0,0.0,0.0,2.7481356143951414
iris_setosa,2.0,Pool-uniform+t05,0.0,0.0,0.0,0.0,0.0,0.0,2.7481356143951414
iris_setosa,2.0,RandomBalance+Elkan,0.0,0.0,0.0,0.0,0.0,0.0,3.474799871444702
iris_setosa,2.0,RandomBalance+t05,0.0,0.0,0.0,0.0,0.0,0.0,3.474799871444702
iris_setosa,2.0,RandomForest+Elkan,0.0,0.0,0.0,0.0,0.006666666666666666,0.006666666666666666,1.3658207893371581
iris_setosa,2.0,RandomForest+t05,0.0,0.0,0.0,0.0,0.0,0.0,1.3658207893371581
iris_setosa,2.0,SPE+Elkan,0.0,0.0,0.0,0.0,0.0,0.0,5.074689340591431
iris_setosa,2.0,SPE+t05,0.0,0.0,0.0,0.0,0.0,0.0,5.074689340591431
pima_diabetes,1.8656716417910448,GradientBoost+Elkan,0.23831593243357946,0.3424751718869366,0.47419573890162126,0.5731601731601732,0.5990323402088108,0.6339784398607928,1.531825590133667
pima_diabetes,1.8656716417910448,GradientBoost+t05,0.23831593243357946,0.3710975299210594,0.7694423223834989,1.4333503098208982,2.7611662846956966,6.744614209320092,1.531825590133667
pima_diabetes,1.8656716417910448,Pool-uniform+Elkan,0.24228843052372465,0.35168491639079874,0.46237161531279175,0.5051778287072405,0.605423987776929,0.6510482981071217,10.998393392562866
pima_diabetes,1.8656716417910448,Pool-uniform+t05,0.24228843052372465,0.3412528647822765,0.6381461675579323,1.132968338850692,2.1226126814362107,5.091545709192768,10.998393392562866
pima_diabetes,1.8656716417910448,RandomBalance+Elkan,0.23571004159239456,0.3490960020371785,0.4375859434682964,0.4883456412868178,0.6040998217468806,0.6471521942110178,25.328548383712768
pima_diabetes,1.8656716417910448,RandomBalance+t05,0.23571004159239456,0.38539173245055597,0.8344368050250403,1.5828452593158475,3.079662167897462,7.570112893642306,25.328548383712768
pima_diabetes,1.8656716417910448,RandomForest+Elkan,0.23310415075120958,0.34379933791698497,0.4597911892029539,0.5000594177064765,0.5742551566080978,0.6547831253713607,3.0919888496398924
pima_diabetes,1.8656716417910448,RandomForest+t05,0.23310415075120958,0.376326288090994,0.8059927001103471,1.522103386809269,2.9543247602071134,7.250988880400645,3.0919888496398924
pima_diabetes,1.8656716417910448,SPE+Elkan,0.24875647228588402,0.3673202614379085,0.4883541295306001,0.5624649859943978,0.6211187505305152,0.6510482981071217,16.826545810699464
pima_diabetes,1.8656716417910448,SPE+t05,0.24875647228588402,0.33339275103980986,0.5873015873015873,1.0104829810712164,1.8568457686104742,4.395934131228249,16.826545810699464
sonar,1.1443298969072164,GradientBoost+Elkan,0.18234610917537747,0.28362369337979093,0.4522648083623693,0.659581881533101,0.6017421602787457,0.7649245063879211,4.193700361251831
sonar,1.1443298969072164,GradientBoost+t05,0.18234610917537747,0.27386759581881537,0.5484320557491289,1.0060394889663182,1.9212543554006971,4.666898954703833,4.193700361251831
sonar,1.1443298969072164,Pool-uniform+Elkan,0.1629500580720093,0.2786295005807201,0.2739837398373984,0.3555168408826946,0.38954703832752613,0.4711962833914054,18.477158975601196
sonar,1.1443298969072164,Pool-uniform+t05,0.1629500580720093,0.2590011614401858,0.5471544715447154,1.0274099883855983,1.9879210220673635,4.86945412311266,18.477158975601196
sonar,1.1443298969072164,RandomBalance+Elkan,0.17235772357723578,0.24518002322880372,0.34041811846689896,0.45133565621370497,0.4898954703832753,0.5141695702671313,32.06535263061524
sonar,1.1443298969072164,RandomBalance+t05,0.17235772357723578,0.24459930313588849,0.4613240418118467,0.8225319396051104,1.5449477351916374,3.7121951219512197,32.06535263061524
sonar,1.1443298969072164,RandomForest+Elkan,0.19198606271777002,0.2403019744483159,0.3991869918699187,0.47595818815331015,0.5288037166085947,0.5336817653890825,2.467449998855591
sonar,1.1443298969072164,RandomForest+t05,0.19198606271777002,0.3168408826945412,0.6914053426248549,1.3156794425087108,2.5642276422764225,6.3098722415795585,2.467449998855591
sonar,1.1443298969072164,SPE+Elkan,0.1822299651567944,0.2643437862950058,0.2830429732868757,0.29825783972125436,0.394773519163763,0.4904761904761905,26.197596788406372
sonar,1.1443298969072164,SPE+t05,0.1822299651567944,0.2688734030197445,0.5288037166085947,0.9620209059233449,1.8284552845528457,4.427758420441347,26.197596788406372
spambase,1.5377826806398236,GradientBoost+Elkan,0.055639427843081714,0.0762897134494642,0.11649813529717226,0.16648420903554736,0.26319926356040224,0.43033635462399095,7.7599140167236325
spambase,1.5377826806398236,GradientBoost+t05,0.055639427843081714,0.08932776282868338,0.19039276778548836,0.3588344427134967,0.6957177925695133,1.7063678421375634,7.7599140167236325
spambase,1.5377826806398236,Pool-uniform+Elkan,0.0619421234008403,0.0849822971250531,0.14105768776849362,0.22951612141811834,0.38578270311098517,0.5674852476042109,41.639905738830564
spambase,1.5377826806398236,Pool-uniform+t05,0.0619421234008403,0.09693386205919842,0.20190907803427277,0.37686777132606336,0.7267851579096446,1.776537317660388,41.639905738830564
spambase,1.5377826806398236,RandomBalance+Elkan,0.061507812868809894,0.09541802388707926,0.18300618420431478,0.30623448047962987,0.42707052825378844,0.5637886512769674,154.57751088142396
spambase,1.5377826806398236,RandomBalance+t05,0.061507812868809894,0.09302223481093329,0.1875655006373035,0.3451376103479205,0.6602818297691545,1.6057144880328564,154.57751088142396
spambase,1.5377826806398236,RandomForest+Elkan,0.045207713732710195,0.06455152716801209,0.1288851909550111,0.21451281688146154,0.31666572251333613,0.45683779445781997,5.083514165878296
spambase,1.5377826806398236,RandomForest+t05,0.045207713732710195,0.07281098050323373,0.15562078081480432,0.293637114667422,0.5696697823726573,1.3977677854883634,5.083514165878296
spambase,1.5377826806398236,SPE+Elkan,0.06042085634707076,0.08433035925034225,0.13801538969928714,0.23842397205306137,0.42316196950384743,0.5855249492517585,53.69024848937988
spambase,1.5377826806398236,SPE+t05,0.06042085634707076,0.09649955152716802,0.20473563706745973,0.385129112967946,0.7459160647689185,1.8282769201718359,53.69024848937988
titanic,1.605263157894737,GradientBoost+Elkan,0.40623313037474107,0.6633293578557529,0.6757140166970059,0.616163454899253,0.616163454899253,0.616163454899253,0.5560503482818604
titanic,1.605263157894737,GradientBoost+t05,0.40623313037474107,0.7238152030632101,1.676561421128617,3.2644717845709623,6.440292511455652,15.967754692109725,0.5560503482818604
titanic,1.605263157894737,Pool-uniform+Elkan,0.43994727261314415,0.6240474546481702,0.616163454899253,0.616163454899253,0.616163454899253,0.616163454899253,5.012954473495483
titanic,1.605263157894737,Pool-uniform+t05,0.43994727261314415,0.7092649551189505,1.5172180026363695,2.8638064151654006,5.556983240223464,13.636513715397651,5.012954473495483
titanic,1.605263157894737,RandomBalance+Elkan,0.5096290251710502,0.6262758144498148,0.616163454899253,0.616163454899253,0.616163454899253,0.616163454899253,13.356340456008912
titanic,1.605263157894737,RandomBalance+t05,0.5096290251710502,0.7070868118762161,1.2994601719917143,2.2867491055175444,4.261326972569205,10.185060573724185,13.356340456008912
titanic,1.605263157894737,RandomForest+Elkan,0.46691984181783946,0.6902391563618103,1.0764233255916138,1.4984746720230997,2.149789718159563,3.1146946205511266,3.189859390258789
