Dataset,IR,Method,Recall,Precision,F1,BAcc,AUC,cost_r1,cost_r2,cost_r5,cost_r10,cost_r20,cost_r50
digits_8,9.327586206896552,RandomForest,0.7490756302521009,0.9903999118165784,0.8513889151570153,0.8741269256040499,0.9964583505576969,0.025045909419168472,0.04935004642525534,0.12226245744351592,0.24378314247395025,0.4868245125348189,1.2159486227174248
digits_8,9.327586206896552,SMOTEBoost,0.8563025210084034,0.9957661290322581,0.9194719811841705,0.9279461322990735,0.9970593066096334,0.014285051067780873,0.028199731765191374,0.06994377385742288,0.13951717734447538,0.2786639843185804,0.6961044052408955
digits_8,9.327586206896552,SPE,0.9194957983193277,0.9015491634880181,0.9096429967010639,0.9542040561713764,0.9963507428422461,0.017803569586299393,0.025594243268337976,0.04896626431445373,0.08791963272464666,0.1658263695450325,0.39954658000619003
digits_9,8.983333333333333,ASE-Stacking,0.9407407407407408,0.8890554869502237,0.9132668869457155,0.9636700684172304,0.99158788704999,0.0179923656246776,0.023926544929330443,0.041729082843288974,0.07139997936655318,0.1307417724130816,0.3087671515526669
digits_9,8.983333333333333,ASE-Static,0.9314814814814815,0.9033814658678055,0.9155276838900247,0.9598650766349425,0.9923348954772149,0.01743526256061075,0.024296399463530384,0.04487981017228928,0.07918549468688744,0.14779686371608375,0.3536309708036728
digits_9,8.983333333333333,BalancedBagging,0.9203703703703704,0.7200907920612898,0.8066081047305409,0.9399813986673292,0.9833492591318529,0.04433250799546064,0.05230527184566182,0.07622356339626535,0.11608738264727123,0.19581502114928298,0.4349979366553182
digits_9,8.983333333333333,DSS,0.9222222222222223,0.8458695492051131,0.8813592725014483,0.9515244174342902,0.9908354638512686,0.02504075105746415,0.03282884555865057,0.05619312906220984,0.09513360156814195,0.1730145465800062,0.4066573816155989
digits_9,8.983333333333333,EasyEnsemble,0.9592592592592593,0.6387277234089557,0.7656102520752821,0.9489100383493229,0.9894711537780948,0.059364489838027446,0.06344475394614671,0.07568554627050449,0.09608686681110079,0.13688950789229343,0.2592974311358712
digits_9,8.983333333333333,GB+Threshold,0.8703703703703703,0.9739560167501344,0.9175087439416902,0.9338451884977512,0.9935223407101632,0.015394098834210255,0.028376663571649644,0.06732435778396781,0.13223718147116476,0.26206282884555865,0.6515397709687404
digits_9,8.983333333333333,GradientBoost,0.8685185185185186,0.971464300498685,0.9160845768355929,0.9328160633974188,0.9935077774521837,0.01576550087692149,0.028933766635716496,0.06843856391210151,0.13427989270607654,0.2659625502940266,0.6610105230578769
